SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
687MN31,Manipur State,SG,100,100,100,6.87,17-SEP-2021,,15-SEP-2031,,,,,IN2320210049
687RJ25,Rajasthan State,SG,100,100,100,6.87,27-JUL-2020,,27-NOV-2025,,,,,IN2920190286
687RJ31,Rajasthan State,SG,100,100,100,6.87,13-SEP-2021,,08-SEP-2031,,,,,IN2920210266
687SK31,Sikkim State,SG,100,100,100,6.87,03-DEC-2021,,01-DEC-2031,,,,,IN3020210032
687UP31,Uttar Pradesh State,SG,100,100,100,6.87,17-SEP-2021,,15-SEP-2031,,,,,IN3320210104
688AP34,Andhra Pradesh State,SG,100,100,100,6.88,27-JUL-2020,,11-MAR-2034,,,,,IN1020190535
688AP35,Andhra Pradesh State,SG,100,100,100,6.88,27-JUL-2020,,11-MAR-2035,,,,,IN1020190543
688GA31,Goa State,SG,100,100,100,6.88,13-SEP-2021,,08-SEP-2031,,,,,IN1420210099
688GJ31,Gujarat State,SG,100,100,100,6.88,02-JUL-2021,,30-JUN-2031,,,,,IN1520210031
688KA31,Karnataka State,SG,100,100,100,6.88,08-OCT-2021,,06-OCT-2031,,,,,IN1920210011
688KA32,Karnataka State,SG,100,100,100,6.88,10-DEC-2021,,08-DEC-2032,,,,,IN1920210144
688MH33,Maharashtra State,SG,100,100,100,6.88,17-MAY-2021,,12-MAY-2033,,,,,IN2220210040
688MN31,Manipur State,SG,100,100,100,6.88,05-FEB-2021,,03-FEB-2031,,,,,IN2320200081
688PY31,Puducherry - Union Territory,SG,100,100,100,6.88,27-JUL-2020,,11-MAR-2031,,,,,IN3820190079
688RJ46,Rajasthan State,SG,100,100,100,6.88,05-FEB-2021,,03-FEB-2046,,,,,IN2920200630
688TS25,Telangana State,SG,100,100,100,6.88,27-JUL-2020,,31-MAR-2025,,,,,IN4520190195
688UK30,Uttarakhand State,SG,100,100,100,6.88,27-JUL-2020,,11-MAR-2030,,,,,IN3620190121
688UP31,Uttar Pradesh State,SG,100,100,100,6.88,05-FEB-2021,,03-FEB-2031,,,,,IN3320200279
688UP31A,Uttar Pradesh State,SG,100,100,100,6.88,25-JUN-2021,,23-JUN-2031,,,,,IN3320210013
688WB40,West Bengal State,SG,100,100,100,6.88,06-NOV-2020,,04-NOV-2040,,,,,IN3420200146
689AP35,Andhra Pradesh State,SG,100,100,100,6.89,05-FEB-2021,,03-FEB-2035,,,,,IN1020200565
689BR28,Bihar State,SG,100,100,100,6.89,05-FEB-2021,,03-FEB-2028,,,,,IN1320200141
689GA30,Goa State,SG,100,100,100,6.89,05-OCT-2020,,30-SEP-2030,,,,,IN1420200140
689GA31,Goa State,SG,100,100,100,6.89,25-JUN-2021,,23-JUN-2031,,,,,IN1420210032
689GA31A,Goa State,SG,100,100,100,6.89,08-OCT-2021,,06-OCT-2031,,,,,IN1420210123
689GJ31,Gujarat State,SG,100,100,100,6.89,08-OCT-2021,,06-OCT-2031,,,,,IN1520210114
689GS2025,Government of India,GS,100,100,1,6.89,17-JAN-2023,,16-JAN-2025,,,,,IN0020220128
689KA33,Karnataka State,SG,100,100,100,6.89,17-DEC-2021,,15-DEC-2033,,,,,IN1920210169
689MH31,Maharashtra State,SG,100,100,100,6.89,02-JUL-2021,,30-JUN-2031,,,,,IN2220210156
689MH32,Maharashtra State,SG,100,100,100,6.89,25-JUN-2021,,23-JUN-2032,,,,,IN2220210149
689MP35,Madhya Pradesh State,SG,100,100,100,6.89,27-JUL-2020,,11-MAR-2035,,,,,IN2120190177
689MP40,Madhya Pradesh State,SG,100,100,100,6.89,23-OCT-2020,,21-OCT-2040,,,,,IN2120200190
689PN31,Punjab State,SG,100,100,100,6.89,13-SEP-2021,,08-SEP-2031,,,,,IN2820210069
689TN25,Tamilnadu State,SG,100,100,100,6.89,27-JUL-2020,,20-NOV-2025,,,,,IN3120190183
689TS51,Telangana State,SG,100,100,100,6.89,23-APR-2021,,20-APR-2051,,,,,IN4520210019
689UP31,Uttar Pradesh State,SG,100,100,100,6.89,13-SEP-2021,,08-SEP-2031,,,,,IN3320210096
689WB41,West Bengal State,SG,100,100,100,6.89,05-FEB-2021,,03-FEB-2041,,,,,IN3420200237
68AS30,Assam State,SG,100,100,100,6.8,25-SEP-2020,,23-SEP-2030,,,,,IN1220200050
68GS2060,Government of India,GS,100,100,1,6.8,01-SEP-2020,,15-DEC-2060,,,,,IN0020200187
68JK35,Jammu & Kashmir State,SG,100,100,100,6.8,06-NOV-2020,,04-NOV-2035,,,,,IN4920200107
68KL31,Kerala State,SG,100,100,100,6.8,05-APR-2021,,31-MAR-2031,,,,,IN2020200308
68MH31,Maharashtra State,SG,100,100,100,6.8,18-JUN-2021,,16-JUN-2031,,,,,IN2220210115
68MN30,Manipur State,SG,100,100,100,6.8,27-JUL-2020,,13-MAY-2030,,,,,IN2320200024
68NL31,Nagaland State,SG,100,100,100,6.8,24-SEP-2021,,22-SEP-2031,,,,,IN2620210046
68OR25,Orissa State,SG,100,100,100,6.8,27-JUL-2020,,29-JAN-2025,,,,,IN2720190080
68PN26,Punjab State,SG,100,100,100,6.8,27-JUL-2020,,06-NOV-2026,,,,,IN2820200052
68RJ24,Rajasthan State,SG,100,100,100,6.8,27-JUL-2020,,01-JAN-2024,,,,,IN2920190310
68RJ31,Rajasthan State,SG,100,100,100,6.8,11-JUN-2021,,09-JUN-2031,,,,,IN2920210126
68SK31,Sikkim State,SG,100,100,100,6.8,24-SEP-2021,,22-SEP-2031,,,,,IN3020210024
68TS50,Telangana State,SG,100,100,100,6.8,06-NOV-2020,,04-NOV-2050,,,,,IN4520200200
68TS50A,Telangana State,SG,100,100,100,6.8,13-NOV-2020,,11-NOV-2050,,,,,IN4520200218
68UK31,Uttarakhand State,SG,100,100,100,6.8,05-APR-2021,,31-MAR-2031,,,,,IN3620200094
690AP27,Andhra Pradesh State,SG,100,100,100,6.9,27-JUL-2020,,22-APR-2027,,,,,IN1020200086
690UP30,Uttar Pradesh State,SG,100,100,100,6.9,27-JUL-2020,,11-MAR-2030,,,,,IN3320190256
691AP39,Andhra Pradesh State,SG,100,100,100,6.91,16-OCT-2020,,14-OCT-2039,,,,,IN1020200417
691AP40,Andhra Pradesh State,SG,100,100,100,6.91,07-MAY-2021,,05-MAY-2040,,,,,IN1020210044
691AS30,Assam State,SG,100,100,100,6.91,09-OCT-2020,,07-OCT-2030,,,,,IN1220200084
691AS31,Assam State,SG,100,100,100,6.91,08-OCT-2021,,06-OCT-2031,,,,,IN1220210083
691GJ30,Gujarat State,SG,100,100,100,6.91,09-JUL-2021,,07-JUL-2030,,,,,IN1520210049
691HP31,Himachal Pradesh State,SG,100,100,100,6.91,26-NOV-2021,,24-NOV-2031,,,,,IN1720210047
691MH33,Maharashtra State,SG,100,100,100,6.91,17-SEP-2021,,15-SEP-2033,,,,,IN2220210248
691MH34,Maharashtra State,SG,100,100,100,6.91,17-SEP-2021,,15-SEP-2034,,,,,IN2220210255
691MP40,Madhya Pradesh State,SG,100,100,100,6.91,16-OCT-2020,,14-OCT-2040,,,,,IN2120200182
691NL30,Nagaland State,SG,100,100,100,6.91,09-OCT-2020,,07-OCT-2030,,,,,IN2620200047
691RJ31,Rajasthan State,SG,100,100,100,6.91,02-JUL-2021,,30-JUN-2031,,,,,IN2920210191
691RJ31A,Rajasthan State,SG,100,100,100,6.91,03-SEP-2021,,01-SEP-2031,,,,,IN2920210258
691RJ31B,Rajasthan State,SG,100,100,100,6.91,08-OCT-2021,,06-OCT-2031,,,,,IN2920210324
691UP30,Uttar Pradesh State,SG,100,100,100,6.91,27-JUL-2020,,18-FEB-2030,,,,,IN3320190223
691UP30A,Uttar Pradesh State,SG,100,100,100,6.91,09-OCT-2020,,07-OCT-2030,,,,,IN3320200121
691WB31,West Bengal State,SG,100,100,100,6.91,26-NOV-2021,,24-NOV-2031,,,,,IN3420210194
692AP41,Andhra Pradesh State,SG,100,100,100,6.92,03-DEC-2021,,01-DEC-2041,,,,,IN1020210416
692AS24,Assam State,SG,100,100,100,6.92,27-JUL-2020,,24-DEC-2024,,,,,IN1220190145
692BR32,Bihar State,SG,100,100,100,6.92,27-JUL-2020,,11-MAR-2032,,,,,IN1320190227
692HP33,Himachal Pradesh State,SG,100,100,100,6.92,26-NOV-2021,,24-NOV-2033,,,,,IN1720210062
692HR30,Haryana State,SG,100,100,100,6.92,23-AUG-2021,,18-AUG-2030,,,,,IN1620210097
692HR36,Haryana State,SG,100,100,100,6.92,07-MAY-2021,,05-MAY-2036,,,,,IN1620210014
692HR36A,Haryana State,SG,100,100,100,6.92,18-JUN-2021,,16-JUN-2036,,,,,IN1620210055
692PN35,Punjab State,SG,100,100,100,6.92,27-JUL-2020,,18-FEB-2035,,,,,IN2820190139
692RJ30,Rajasthan State,SG,100,100,100,6.92,09-OCT-2020,,07-OCT-2030,,,,,IN2920200424
692RJ31,Rajasthan State,SG,100,100,100,6.92,12-NOV-2021,,10-NOV-2031,,,,,IN2920210373
692TN46,Tamilnadu State,SG,100,100,100,6.92,03-DEC-2021,,01-DEC-2046,,,,,IN3120210247
692UP31,Uttar Pradesh State,SG,100,100,100,6.92,08-OCT-2021,,06-OCT-2031,,,,,IN3320210120
693AP38,Andhra Pradesh State,SG,100,100,100,6.93,01-OCT-2021,,29-SEP-2038,,,,,IN1020210291
693GJ31,Gujarat State,SG,100,100,100,6.93,19-FEB-2021,,17-FEB-2031,,,,,IN1520200263
693GJ31A,Gujarat State,SG,100,100,100,6.93,29-OCT-2021,,27-OCT-2031,,,,,IN1520210148
693HP31,Himachal Pradesh State,SG,100,100,100,6.93,03-SEP-2021,,01-SEP-2031,,,,,IN1720210013
693HP32,Himachal Pradesh State,SG,100,100,100,6.93,26-NOV-2021,,24-NOV-2032,,,,,IN1720210054
693JH30,Jharkhand State,SG,100,100,100,6.93,09-OCT-2020,,07-OCT-2030,,,,,IN3720200010
693KA32,Karnataka State,SG,100,100,100,6.93,08-OCT-2021,,06-OCT-2032,,,,,IN1920210029
693SK31,Sikkim State,SG,100,100,100,6.93,26-MAR-2021,,24-MAR-2031,,,,,IN3020200074
693TS37,Telangana State,SG,100,100,100,6.93,01-OCT-2021,,29-SEP-2037,,,,,IN4520210159
693UP31,Uttar Pradesh State,SG,100,100,100,6.93,12-NOV-2021,,10-NOV-2031,,,,,IN3320210153
693UP31A,Uttar Pradesh State,SG,100,100,100,6.93,22-NOV-2021,,17-NOV-2031,,,,,IN3320210161
694AP37,Andhra Pradesh State,SG,100,100,100,6.94,17-MAY-2021,,12-MAY-2037,,,,,IN1020210051
694AP38,Andhra Pradesh State,SG,100,100,100,6.94,17-MAY-2021,,12-MAY-2038,,,,,IN1020210069
694AP41,Andhra Pradesh State,SG,100,100,100,6.94,01-OCT-2021,,29-SEP-2041,,,,,IN1020210309
694AS31,Assam State,SG,100,100,100,6.94,12-NOV-2021,,10-NOV-2031,,,,,IN1220210125
694CG29,Chattisgarh State,SG,100,100,100,6.94,26-MAR-2021,,24-MAR-2029,,,,,IN3520200137
694GA30,Goa State,SG,100,100,100,6.94,27-JUL-2020,,11-MAR-2030,,,,,IN1420190184
694JK36,Jammu & Kashmir State,SG,100,100,100,6.94,10-DEC-2021,,08-DEC-2036,,,,,IN4920210098
694MH31,Maharashtra State,SG,100,100,100,6.94,09-JUL-2021,,07-JUL-2031,,,,,IN2220210172
694ML25,Meghalaya State,SG,100,100,100,6.94,05-AUG-2022,,03-AUG-2025,,,,,IN2420220039
694MP35,Madhya Pradesh State,SG,100,100,100,6.94,27-JUL-2020,,26-FEB-2035,,,,,IN2120190136
694RJ33,Rajasthan State,SG,100,100,100,6.94,01-OCT-2021,,29-SEP-2033,,,,,IN2920210308
694TN25,Tamilnadu State,SG,100,100,100,6.94,27-JUL-2020,,13-NOV-2025,,,,,IN3120190175
694TN50,Tamilnadu State,SG,100,100,100,6.94,27-JUL-2020,,11-MAR-2050,,,,,IN3120190266
694TS50,Telangana State,SG,100,100,100,6.94,05-OCT-2020,,30-SEP-2050,,,,,IN4520200176
694TS50A,Telangana State,SG,100,100,100,6.94,16-OCT-2020,,14-OCT-2050,,,,,IN4520200184
694TS60,Telangana State,SG,100,100,100,6.94,27-JUL-2020,,11-MAR-2060,,,,,IN4520190161
694UK31,Uttarakhand State,SG,100,100,100,6.94,02-JUL-2021,,30-JUN-2031,,,,,IN3620210010
694UP31,Uttar Pradesh State,SG,100,100,100,6.94,12-FEB-2021,,10-FEB-2031,,,,,IN3320200287
694UP31A,Uttar Pradesh State,SG,100,100,100,6.94,02-JUL-2021,,30-JUN-2031,,,,,IN3320210021
694WB36,West Bengal State,SG,100,100,100,6.94,17-DEC-2021,,15-DEC-2036,,,,,IN3420210202
695AS30,Assam State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2030,,,,,IN1220190228
695BR30,Bihar State,SG,100,100,100,6.95,29-OCT-2021,,27-OCT-2030,,,,,IN1320210082
695GJ31,Gujarat State,SG,100,100,100,6.95,16-JUL-2021,,14-JUL-2031,,,,,IN1520210056
695GS2061,Government of India,GS,100,100,1,6.95,23-NOV-2021,,16-DEC-2061,,,,,IN0020210202
695HP29,Himachal Pradesh State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2029,,,,,IN1720190173
695HP33,Himachal Pradesh State,SG,100,100,100,6.95,27-JUL-2020,,26-FEB-2033,,,,,IN1720190132
695HP34,Himachal Pradesh State,SG,100,100,100,6.95,27-JUL-2020,,26-FEB-2034,,,,,IN1720190140
695HR33,Haryana State,SG,100,100,100,6.95,04-JUN-2021,,02-JUN-2033,,,,,IN1620210048
695KA31,Karnataka State,SG,100,100,100,6.95,22-OCT-2021,,20-OCT-2031,,,,,IN1920210052
695MH31,Maharashtra State,SG,100,100,100,6.95,16-JUL-2021,,14-JUL-2031,,,,,IN2220210198
695MH32,Maharashtra State,SG,100,100,100,6.95,02-JUL-2021,,30-JUN-2032,,,,,IN2220210164
695MN30,Manipur State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2030,,,,,IN2320190076
695PN25,Punjab State,SG,100,100,100,6.95,27-JUL-2020,,31-MAR-2025,,,,,IN2820190162
695PN31,Punjab State,SG,100,100,100,6.95,02-JUL-2021,,30-JUN-2031,,,,,IN2820210028
695PN40,Punjab State,SG,100,100,100,6.95,05-OCT-2020,,30-SEP-2040,,,,,IN2820200110
695RJ31,Rajasthan State,SG,100,100,100,6.95,12-FEB-2021,,10-FEB-2031,,,,,IN2920200655
695SK30,Sikkim State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2030,,,,,IN3020190044
695TN31,Tamilnadu State,SG,100,100,100,6.95,19-FEB-2021,,17-FEB-2031,,,,,IN3120200362
695TN31A,Tamilnadu State,SG,100,100,100,6.95,09-JUL-2021,,07-JUL-2031,,,,,IN3120210106
695TN31B,Tamilnadu State,SG,100,100,100,6.95,27-AUG-2021,,25-AUG-2031,,,,,IN3120210189
695WB35,West Bengal State,SG,100,100,100,6.95,27-JUL-2020,,26-FEB-2035,,,,,IN3420190206
696AP35,Andhra Pradesh State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2035,,,,,IN1020210077
696AP36,Andhra Pradesh State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2036,,,,,IN1020210085
696GA31,Goa State,SG,100,100,100,6.96,02-JUL-2021,,30-JUN-2031,,,,,IN1420210040
696HR29,Haryana State,SG,100,100,100,6.96,04-FEB-2022,,02-FEB-2029,,,,,IN1620210147
696HR40,Haryana State,SG,100,100,100,6.96,27-JUL-2020,,26-FEB-2040,,,,,IN1620190174
696JK35,Jammu & Kashmir State,SG,100,100,100,6.96,05-OCT-2020,,30-SEP-2035,,,,,IN4920200081
696KA31,Karnataka State,SG,100,100,100,6.96,18-OCT-2021,,13-OCT-2031,,,,,IN1920210037
696KA31A,Karnataka State,SG,100,100,100,6.96,24-DEC-2021,,22-DEC-2031,,,,,IN1920210177
696KL34,Kerala State,SG,100,100,100,6.96,04-JUN-2021,,02-JUN-2034,,,,,IN2020210034
696PY30,Puducherry - Union Territory,SG,100,100,100,6.96,31-DEC-2021,,29-DEC-2030,,,,,IN3820210059
696RJ31,Rajasthan State,SG,100,100,100,6.96,29-OCT-2021,,27-OCT-2031,,,,,IN2920210357
696RJ41,Rajasthan State,SG,100,100,100,6.96,12-FEB-2021,,10-FEB-2041,,,,,IN2920200663
696TN31,Tamilnadu State,SG,100,100,100,6.96,08-NOV-2021,,02-NOV-2031,,,,,IN3120210221
696TN51,Tamilnadu State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2051,,,,,IN3120210023
696TN56,Tamilnadu State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2056,,,,,IN3120210031
696TS45,Telangana State,SG,100,100,100,6.96,10-DEC-2021,,08-DEC-2045,,,,,IN4520210191
696TS51,Telangana State,SG,100,100,100,6.96,07-MAY-2021,,05-MAY-2051,,,,,IN4520210027
696UP31,Uttar Pradesh State,SG,100,100,100,6.96,24-DEC-2021,,22-DEC-2031,,,,,IN3320210179
697AS31,Assam State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN1220210034
697AS31A,Assam State,SG,100,100,100,6.97,24-DEC-2021,,22-DEC-2031,,,,,IN1220210174
697GA31,Goa State,SG,100,100,100,6.97,27-AUG-2021,,25-AUG-2031,,,,,IN1420210081
697KA28,Karnataka State,SG,100,100,100,6.97,27-JUL-2020,,26-FEB-2028,,,,,IN1920190189
697KA30,Karnataka State,SG,100,100,100,6.97,27-JUL-2020,,26-FEB-2030,,,,,IN1920190197
697KA31,Karnataka State,SG,100,100,100,6.97,05-OCT-2020,,30-SEP-2031,,,,,IN1920200285
697KL31,Kerala State,SG,100,100,100,6.97,27-AUG-2021,,25-AUG-2031,,,,,IN2020210109
697MH28,Maharashtra State,SG,100,100,100,6.97,27-JUL-2020,,18-FEB-2028,,,,,IN2220190127
697NL31,Nagaland State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN2620210038
697PN31,Punjab State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN2820210044
697PN40,Punjab State,SG,100,100,100,6.97,27-JUL-2020,,11-MAR-2040,,,,,IN2820190147
697RJ30,Rajasthan State,SG,100,100,100,6.97,27-JUL-2020,,26-FEB-2030,,,,,IN2920190401
697RJ31,Rajasthan State,SG,100,100,100,6.97,09-JUL-2021,,07-JUL-2031,,,,,IN2920210217
697RJ51,Rajasthan State,SG,100,100,100,6.97,12-FEB-2021,,10-FEB-2051,,,,,IN2920200671
697RJ51A,Rajasthan State,SG,100,100,100,6.97,19-FEB-2021,,17-FEB-2051,,,,,IN2920200713
697TN31,Tamilnadu State,SG,100,100,100,6.97,23-JUL-2021,,20-JUL-2031,,,,,IN3120210122
697TN31A,Tamilnadu State,SG,100,100,100,6.97,30-JUL-2021,,28-JUL-2031,,,,,IN3120210148
697TN31B,Tamilnadu State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN3120210171
697TN31C,Tamilnadu State,SG,100,100,100,6.97,18-OCT-2021,,13-OCT-2031,,,,,IN3120210213
697TN46,Tamilnadu State,SG,100,100,100,6.97,27-MAY-2021,,25-MAY-2046,,,,,IN3120210056
697UP31,Uttar Pradesh State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN3320210070
697UP31A,Uttar Pradesh State,SG,100,100,100,6.97,18-OCT-2021,,13-OCT-2031,,,,,IN3320210138
697WB36,West Bengal State,SG,100,100,100,6.97,12-FEB-2021,,10-FEB-2036,,,,,IN3420200245
698AP36,Andhra Pradesh State,SG,100,100,100,6.98,17-SEP-2021,,15-SEP-2036,,,,,IN1020210267
698AS31,Assam State,SG,100,100,100,6.98,12-FEB-2021,,10-FEB-2031,,,,,IN1220200266
698AS31A,Assam State,SG,100,100,100,6.98,27-AUG-2021,,25-AUG-2031,,,,,IN1220210042
698BR30,Bihar State,SG,100,100,100,6.98,08-NOV-2021,,02-NOV-2030,,,,,IN1320210090
698GA31,Goa State,SG,100,100,100,6.98,24-DEC-2021,,22-DEC-2031,,,,,IN1420210156
698GJ31,Gujarat State,SG,100,100,100,6.98,13-AUG-2021,,11-AUG-2031,,,,,IN1520210080
698HP32,Himachal Pradesh State,SG,100,100,100,6.98,03-SEP-2021,,01-SEP-2032,,,,,IN1720210021
698HR31,Haryana State,SG,100,100,100,6.98,06-AUG-2021,,04-AUG-2031,,,,,IN1620210089
698HR41,Haryana State,SG,100,100,100,6.98,12-FEB-2021,,10-FEB-2041,,,,,IN1620200148
698JK36,Jammu & Kashmir State,SG,100,100,100,6.98,01-OCT-2021,,29-SEP-2036,,,,,IN4920210072
698MH28,Maharashtra State,SG,100,100,100,6.98,27-JUL-2020,,26-FEB-2028,,,,,IN2220190135
698MP30,Madhya Pradesh State,SG,100,100,100,6.98,27-JUL-2020,,26-FEB-2030,,,,,IN2120190128
698PN33,Punjab State,SG,100,100,100,6.98,01-OCT-2021,,29-SEP-2033,,,,,IN2820210093
698PY33,Puducherry - Union Territory,SG,100,100,100,6.98,05-APR-2021,,31-MAR-2033,,,,,IN3820200092
698RJ31,Rajasthan State,SG,100,100,100,6.98,18-OCT-2021,,13-OCT-2031,,,,,IN2920210332
698RJ31A,Rajasthan State,SG,100,100,100,6.98,08-NOV-2021,,02-NOV-2031,,,,,IN2920210365
698TN31,Tamilnadu State,SG,100,100,100,6.98,16-JUL-2021,,14-JUL-2031,,,,,IN3120210114
698TN31A,Tamilnadu State,SG,100,100,100,6.98,06-AUG-2021,,04-AUG-2031,,,,,IN3120210155
698TR30,Tripura State,SG,100,100,100,6.98,27-JUL-2020,,26-FEB-2030,,,,,IN3220190059
698TS28,Telangana State,SG,100,100,100,6.98,27-JUL-2020,,22-APR-2028,,,,,IN4520200044
698TS41,Telangana State,SG,100,100,100,6.98,21-MAY-2021,,19-MAY-2041,,,,,IN4520210035
698UP31,Uttar Pradesh State,SG,100,100,100,6.98,27-AUG-2021,,25-AUG-2031,,,,,IN3320210088
698WB35,West Bengal State,SG,100,100,100,6.98,27-JUL-2020,,11-MAR-2035,,,,,IN3420190222
698WB36,West Bengal State,SG,100,100,100,6.98,17-SEP-2021,,15-SEP-2036,,,,,IN3420210137
698WB37,West Bengal State,SG,100,100,100,6.98,22-NOV-2021,,17-NOV-2037,,,,,IN3420210186
699AR30,Arunachal Pradesh State,SG,100,100,100,6.99,27-JUL-2020,,26-FEB-2030,,,,,IN1120190039
699AS31,Assam State,SG,100,100,100,6.99,29-OCT-2021,,27-OCT-2031,,,,,IN1220210109
699GA30,Goa State,SG,100,100,100,6.99,27-JUL-2020,,26-FEB-2030,,,,,IN1420190176
699GA31,Goa State,SG,100,100,100,6.99,09-JUL-2021,,07-JUL-2031,,,,,IN1420210057
699GA31A,Goa State,SG,100,100,100,6.99,16-JUL-2021,,14-JUL-2031,,,,,IN1420210065
699GA31B,Goa State,SG,100,100,100,6.99,13-AUG-2021,,11-AUG-2031,,,,,IN1420210073
699GJ26,Gujarat State,SG,100,100,100,6.99,27-JUL-2020,,31-MAR-2026,,,,,IN1520190233
699GS2026,Government of India,GS,100,100,1,6.99,18-APR-2023,,17-APR-2026,,,,,IN0020230028
699GS2051,Government of India,GS,100,100,1,6.99,16-NOV-2021,,15-DEC-2051,,,,,IN0020210194
699HR31,Haryana State,SG,100,100,100,6.99,22-OCT-2021,,20-OCT-2031,,,,,IN1620210113
699JH30,Jharkhand State,SG,100,100,100,6.99,27-JUL-2020,,11-MAR-2030,,,,,IN3720190047
699JK31,Jammu & Kashmir State,SG,100,100,100,6.99,05-FEB-2021,,03-FEB-2031,,,,,IN4920200149
699KA28,Karnataka State,SG,100,100,100,6.99,18-MAR-2021,,17-MAR-2028,,,,,IN1920200681
699KL36,Kerala State,SG,100,100,100,6.99,01-OCT-2021,,29-SEP-2036,,,,,IN2020210158
699MH29,Maharashtra State,SG,100,100,100,6.99,11-FEB-2022,,09-FEB-2029,,,,,IN2220210289
699MN30,Manipur State,SG,100,100,100,6.99,27-JUL-2020,,26-FEB-2030,,,,,IN2320190050
699MP24,Madhya Pradesh State,SG,100,100,100,6.99,27-JUL-2020,,24-MAR-2024,,,,,IN2120190201
699MP41,Madhya Pradesh State,SG,100,100,100,6.99,22-NOV-2021,,17-NOV-2041,,,,,IN2120210041
699PY29,Puducherry - Union Territory,SG,100,100,100,6.99,25-FEB-2022,,23-AUG-2029,,,,,IN3820210083
699RJ41,Rajasthan State,SG,100,100,100,6.99,19-FEB-2021,,17-FEB-2041,,,,,IN2920200705
699TN41,Tamilnadu State,SG,100,100,100,6.99,27-MAY-2021,,25-MAY-2041,,,,,IN3120210049
699TR36,Tripura State,SG,100,100,100,6.99,01-OCT-2021,,29-SEP-2036,,,,,IN3220210014
699TS28,Telangana State,SG,100,100,100,6.99,27-JUL-2020,,10-JUN-2028,,,,,IN4520200093
699TS43,Telangana State,SG,100,100,100,6.99,22-NOV-2021,,17-NOV-2043,,,,,IN4520210183
699UP31,Uttar Pradesh State,SG,100,100,100,6.99,16-JUL-2021,,14-JUL-2031,,,,,IN3320210039
699UP31A,Uttar Pradesh State,SG,100,100,100,6.99,30-JUL-2021,,28-JUL-2031,,,,,IN3320210054
699UP31B,Uttar Pradesh State,SG,100,100,100,6.99,29-OCT-2021,,27-OCT-2031,,,,,IN3320210146
699WB30,West Bengal State,SG,100,100,100,6.99,30-JUL-2021,,28-JUL-2030,,,,,IN3420210079
699WB31,West Bengal State,SG,100,100,100,6.99,27-AUG-2021,,25-AUG-2031,,,,,IN3420210103
699WB35,West Bengal State,SG,100,100,100,6.99,16-OCT-2020,,14-OCT-2035,,,,,IN3420200138
699WB36,West Bengal State,SG,100,100,100,6.99,05-APR-2021,,31-MAR-2036,,,,,IN3420200302
699WB36A,West Bengal State,SG,100,100,100,6.99,01-OCT-2021,,29-SEP-2036,,,,,IN3420210145
69AP32,Andhra Pradesh State,SG,100,100,100,6.9,05-FEB-2021,,03-FEB-2032,,,,,IN1020200557
69AP39,Andhra Pradesh State,SG,100,100,100,6.9,07-MAY-2021,,05-MAY-2039,,,,,IN1020210036
69AS30,Assam State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN1220190194
69AS30A,Assam State,SG,100,100,100,6.9,05-OCT-2020,,30-SEP-2030,,,,,IN1220200068
69GA30,Goa State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN1420190168
69GA30A,Goa State,SG,100,100,100,6.9,09-OCT-2020,,07-OCT-2030,,,,,IN1420200157
69GJ30,Gujarat State,SG,100,100,100,6.9,05-APR-2021,,31-MAR-2030,,,,,IN1520200354
69HP30,Himachal Pradesh State,SG,100,100,100,6.9,09-OCT-2020,,07-OCT-2030,,,,,IN1720200048
69JK33,Jammu & Kashmir State,SG,100,100,100,6.9,07-MAY-2021,,05-MAY-2033,,,,,IN4920210023
69KA30,Karnataka State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN1920190171
69KA31,Karnataka State,SG,100,100,100,6.9,22-NOV-2021,,17-NOV-2031,,,,,IN1920210086
69ML30,Meghalaya State,SG,100,100,100,6.9,05-OCT-2020,,30-SEP-2030,,,,,IN2420200049
69MN30,Manipur State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN2320190043
69MZ33,Mizoram State,SG,100,100,100,6.9,17-MAY-2021,,12-MAY-2033,,,,,IN2520210013
